band_name,band_dir,use_error_map,make_cutout,calib_error,beam_arcsec,colour_map,annulus_inner,annulus_outer,subpixel_factor,gain_factor,consider_aperture,remove_stars,downsample_factor,beam_correction
GALEX_FUV,./Cutouts/GALEX/,False,False,0.045,4.3,bone,1.25,1.601,1,1,True,False,1,False
GALEX_NUV,./Cutouts/GALEX/,False,False,0.027,5.3,bone,1.25,1.601,1,1,True,True,1,False
SDSS_u,./Cutouts/SDSS/,False,False,0.013,1.3,gray,1.25,1.601,1,1,True,True,1,False
SDSS_g,./Cutouts/SDSS/,False,False,0.008,1.3,gray,1.25,1.601,1,1,True,True,1,False
SDSS_r,./Cutouts/SDSS/,False,False,0.008,1.3,gray,1.25,1.601,1,1,True,True,1,False
SDSS_i,./Cutouts/SDSS/,False,False,0.007,1.3,gray,1.25,1.601,1,1,True,True,1,False
SDSS_z,./Cutouts/SDSS/,False,False,0.008,1.3,gray,1.25,1.601,1,1,True,True,1,False
#DSS1_B,./Cutouts/DSS/,False,False,1,1.8,gray,1.25,1.601,1,1,True,True,1,False
#DSS1_R,./Cutouts/DSS/,False,False,2,1.8,gray,1.25,1.601,1,1,True,True,1,False
#DSS2_B,./Cutouts/DSS/,False,False,3,1.8,gray,1.25,1.601,1,1,True,True,1,False
#DSS2_R,./Cutouts/DSS/,False,False,4,1.8,gray,1.25,1.601,1,1,True,True,1,False
#VISTA_Z,./Cutouts/VISTA/,False,False,0.027,1.0,gray,1.25,1.601,1,1,True,True,1,False
#VISTA_Y,./Cutouts/VISTA/,False,False,0.027,1.0,gray,1.25,1.601,1,1,True,True,1,False
#VISTA_J,./Cutouts/VISTA/,False,False,0.027,1.0,gray,1.25,1.601,1,1,True,True,1,False
#VISTA_H,./Cutouts/VISTA/,False,False,0.027,1.0,gray,1.25,1.601,1,1,True,True,1,False
#VISTA_Ks,./Cutouts/VISTA/,False,False,0.027,1.0,gray,1.25,1.601,1,1,True,True,1,False
2MASS_J,./Cutouts/2MASS/,False,False,0.017,2,gray,1.25,1.601,1,1,True,True,1,False
2MASS_H,./Cutouts/2MASS/,False,False,0.019,2,gray,1.25,1.601,1,1,True,True,1,False
2MASS_Ks,./Cutouts/2MASS/,False,False,0.019,2,gray,1.25,1.601,1,1,True,True,1,False
WISE_3.4,./Cutouts/WISE/,False,False,0.029,6.1,pink,1.25,1.601,1,1,True,True,1,False
WISE_4.6,./Cutouts/WISE/,False,False,0.034,6.4,pink,1.25,1.601,1,1,True,True,1,False
WISE_12,./Cutouts/WISE/,False,False,0.046,6.5,pink,1.25,1.601,1,1,False,True,1,False
WISE_22,./Cutouts/WISE/,False,False,0.056,12,pink,1.25,1.601,1,1,False,True,1,False
Spitzer_3.6,./Cutouts/Spitzer/,False,False,0.03,1.66,pink,1.25,1.601,1,1,True,True,1,False
Spitzer_4.5,./Cutouts/Spitzer/,False,False,0.03,1.72,pink,1.25,1.601,1,1,True,True,1,False
Spitzer_5.8,./Cutouts/Spitzer/,False,False,0.03,1.88,pink,1.25,1.601,1,1,True,True,1,False
Spitzer_8.0,./Cutouts/Spitzer/,False,False,0.03,1.98,pink,1.25,1.601,1,1,True,True,1,False
Spitzer_24,./Cutouts/Spitzer/,False,False,0.05,6,pink,1.25,1.601,1,1,True,True,1,False
Spitzer_70,./Cutouts/Spitzer/,False,False,0.1,18,pink,1.25,1.601,4,1,False,False,1,False
Spitzer_160,./Cutouts/Spitzer/,False,False,0.12,38,pink,1.25,1.601,10,1,False,False,1,False
PACS_70,./Cutouts/PACS/,False,False,0.07,9,gist_heat,1.25,1.601,4,1,True,False,1,False
PACS_100,./Cutouts/PACS/,False,False,0.07,10,gist_heat,1.25,1.601,4,1,True,False,1,False
PACS_160,./Cutouts/PACS/,False,False,0.07,13,gist_heat,1.25,1.601,4,1,True,False,1,False
SPIRE_250,./Cutouts/SPIRE/,False,False,0.055,18,gist_heat,1.25,1.601,10,1,True,False,1,False
SPIRE_350,./Cutouts/SPIRE/,False,False,0.055,25,gist_heat,1.25,1.601,10,1,False,False,1,False
SPIRE_500,./Cutouts/SPIRE/,False,False,0.055,36,gist_heat,1.25,1.601,10,1,False,False,1,False